Jose Soto
Program 3

Key         List          Array
lann        0.053 s    0.000 s
dl          0.037 s    0.000 s
ssify       0.030 s    0.000 s
se          0.031 s    0.000 s
osit        0.032 s    0.000 s
wils        0.028 s    0.000 s
any         0.050 s    0.000 s
lsb         0.052 s    0.000 s
ened        0.046 s    0.000 s
gras        0.032 s    0.000 s
opol        0.033 s    0.000 s
as          0.034 s    0.000 s
ine         0.034 s    0.000 s
al          0.034 s    0.000 s
re          0.033 s    0.000 s
wo          0.038 s    0.000 s
im          0.035 s    0.000 s
ete         0.033 s    0.000 s
luabl       0.030 s    0.000 s
ocie        0.031 s    0.000 s
ys          0.028 s    0.000 s
phi         0.031 s    0.000 s
slav        0.031 s    0.000 s
upa         0.030 s    0.000 s
med         0.030 s    0.000 s
aniz        0.033 s    0.000 s
tus         0.032 s    0.000 s
rof         0.033 s    0.000 s
ve          0.033 s    0.000 s
nnatu       0.048 s    0.000 s
ul          0.042 s    0.000 s
en          0.035 s    0.000 s
mulat       0.029 s    0.000 s
edat        0.034 s    0.000 s
gr          0.031 s    0.000 s
monia       0.050 s    0.000 s
tigli       0.037 s    0.000 s
repr        0.032 s    0.000 s
ie          0.035 s    0.000 s
toade       0.032 s    0.000 s
on          0.033 s    0.000 s
ur          0.030 s    0.000 s
inan        0.032 s    0.000 s
yism        0.028 s    0.000 s
reb         0.032 s    0.000 s
butch       0.030 s    0.000 s
ll          0.032 s    0.000 s
chae        0.031 s    0.000 s
rk          0.033 s    0.000 s
rme         0.035 s    0.000 s
porat       0.030 s    0.000 s
an          0.038 s    0.000 s
dazed       0.036 s    0.000 s
yer         0.037 s    0.000 s
en          0.037 s    0.000 s
hasti       0.031 s    0.000 s
las         0.051 s    0.000 s
moo         0.049 s    0.000 s
know        0.029 s    0.000 s
he          0.029 s    0.000 s
mi          0.030 s    0.000 s
pau         0.030 s    0.000 s
erns        0.033 s    0.000 s
te          0.033 s    0.000 s
ler         0.031 s    0.000 s
sta         0.031 s    0.000 s
bota        0.029 s    0.000 s
lu          0.032 s    0.000 s
va          0.028 s    0.000 s
re          0.035 s    0.000 s
mpora       0.029 s    0.000 s
is          0.034 s    0.000 s
ow          0.033 s    0.000 s
nload       0.030 s    0.000 s
nt          0.032 s    0.000 s
aight       0.038 s    0.000 s
hang        0.037 s    0.000 s
con         0.031 s    0.000 s
stoch       0.030 s    0.000 s
min         0.030 s    0.000 s
ue          0.030 s    0.000 s
st          0.032 s    0.000 s
ost         0.034 s    0.000 s
ye          0.028 s    0.000 s
vati        0.028 s    0.000 s
bru         0.029 s    0.000 s
ns          0.032 s    0.000 s
lim         0.031 s    0.000 s
arso        0.034 s    0.000 s
rer         0.032 s    0.000 s
natty       0.030 s    0.000 s
oy          0.033 s    0.000 s
scina       0.030 s    0.000 s
rrna        0.032 s    0.000 s
ens         0.035 s    0.000 s
ng          0.032 s    0.000 s
ten         0.032 s    0.000 s
ma          0.029 s    0.000 s
lated       0.030 s    0.000 s
hes         0.029 s    0.000 s
atin        0.032 s    0.000 s
xudat       0.030 s    0.000 s
ttre        0.031 s    0.000 s
ton         0.032 s    0.000 s
dalai       0.029 s    0.000 s
rc          0.033 s    0.000 s
ymen        0.028 s    0.000 s
olter       0.035 s    0.000 s
ebi         0.044 s    0.000 s
th          0.033 s    0.000 s
duc         0.029 s    0.000 s
ri          0.033 s    0.000 s
afe         0.033 s    0.000 s
quem        0.031 s    0.000 s
eset        0.034 s    0.000 s
eta         0.036 s    0.000 s
eled        0.033 s    0.000 s
iazo        0.032 s    0.000 s
ate         0.033 s    0.000 s
ng          0.033 s    0.000 s
allu        0.034 s    0.000 s
euc         0.036 s    0.000 s
is          0.037 s    0.000 s
vaas        0.032 s    0.000 s
nd          0.034 s    0.000 s
drok        0.031 s    0.000 s
dda         0.047 s    0.000 s
su          0.057 s    0.000 s
ght         0.055 s    0.000 s
rally       0.034 s    0.000 s
cons        0.035 s    0.000 s
et          0.035 s    0.000 s
iraro       0.058 s    0.000 s
dome        0.050 s    0.000 s
nt          0.056 s    0.000 s
ee          0.059 s    0.000 s
sier        0.043 s    0.000 s
pro         0.030 s    0.000 s
fe          0.028 s    0.000 s
ecula       0.035 s    0.000 s
li          0.053 s    0.000 s
ubi         0.050 s    0.000 s
icia        0.034 s    0.000 s
ten         0.032 s    0.000 s
ski         0.040 s    0.000 s
ach         0.033 s    0.000 s
eat         0.033 s    0.000 s
and         0.033 s    0.000 s
rowbo       0.031 s    0.000 s
rea         0.033 s    0.000 s
em          0.058 s    0.000 s
resou       0.051 s    0.000 s
stela       0.031 s    0.000 s
atome       0.032 s    0.000 s
egem        0.034 s    0.000 s
rrect       0.051 s    0.000 s
ravi        0.053 s    0.000 s
hunc        0.033 s    0.000 s
ekno        0.038 s    0.000 s
upu         0.032 s    0.000 s
rease       0.036 s    0.000 s
olu         0.037 s    0.000 s
late        0.033 s    0.000 s
iti         0.036 s    0.000 s
eten        0.039 s    0.000 s
du          0.039 s    0.000 s
ton         0.043 s    0.000 s
ousn        0.040 s    0.000 s
he          0.032 s    0.000 s
ntemp       0.031 s    0.000 s
elati       0.037 s    0.000 s
pr          0.051 s    0.000 s
en          0.049 s    0.000 s
os          0.033 s    0.000 s
rou         0.032 s    0.000 s
ct          0.031 s    0.000 s
horse       0.041 s    0.000 s
ap          0.054 s    0.000 s
ans         0.046 s    0.000 s
aded        0.032 s    0.000 s
derl        0.029 s    0.000 s
pule        0.032 s    0.000 s
un          0.031 s    0.000 s
epa         0.034 s    0.000 s
ilo         0.034 s    0.000 s
dempt       0.029 s    0.000 s
viol        0.028 s    0.000 s
rupte       0.032 s    0.000 s
ajup        0.036 s    0.000 s
hmar        0.029 s    0.000 s
sh          0.031 s    0.000 s
aires       0.032 s    0.000 s
rs          0.038 s    0.000 s
am          0.060 s    0.000 s
nk          0.054 s    0.000 s
sta         0.034 s    0.000 s
mus         0.041 s    0.000 s
wing        0.041 s    0.000 s
inste       0.049 s    0.000 s
ia          0.043 s    0.000 s
rious       0.039 s    0.000 s
able        0.037 s    0.000 s
ca          0.032 s    0.000 s
rmen        0.033 s    0.000 s
le          0.032 s    0.000 s
acter       0.032 s    0.000 s
wa          0.028 s    0.000 s
de          0.029 s    0.000 s
he          0.029 s    0.000 s
yaci        0.030 s    0.000 s
ntilo       0.047 s    0.000 s
al          0.057 s    0.000 s
ater        0.035 s    0.000 s
ogan        0.031 s    0.000 s
ka          0.029 s    0.000 s
istin       0.052 s    0.000 s
rrie        0.062 s    0.000 s
nis         0.041 s    0.000 s
otle        0.042 s    0.000 s
pa          0.055 s    0.000 s
tr          0.040 s    0.000 s
en          0.043 s    0.000 s
km          0.035 s    0.000 s
seri        0.041 s    0.000 s
ybbuk       0.041 s    0.000 s
tic         0.041 s    0.000 s
gove        0.036 s    0.000 s
ters        0.040 s    0.000 s
as          0.047 s    0.000 s
deco        0.038 s    0.000 s
lymer       0.037 s    0.000 s
mic         0.030 s    0.000 s
llou        0.030 s    0.000 s
coe         0.031 s    0.000 s
exha        0.034 s    0.000 s
ry          0.033 s    0.000 s
ndo         0.031 s    0.000 s
st          0.032 s    0.000 s
rop         0.032 s    0.000 s
pedie       0.030 s    0.000 s
al          0.035 s    0.000 s
noca        0.037 s    0.000 s
keep        0.034 s    0.000 s
ds          0.038 s    0.000 s
plem        0.038 s    0.000 s
orbic       0.045 s    0.000 s
